# Lane B peak/lifetime trace (HEAD 013f1f7). peak_qubits=1302 at phase=dialog_gcd_compressed_block_tobitvector_shift ops_idx=1096242 total_ops=9777634
# distinct phases reaching 1302q: dialog_gcd_compressed_block_tobitvector_branch_bits(4 sites), dialog_gcd_compressed_block_tobitvector_compress_block(2 sites), dialog_gcd_compressed_block_tobitvector_cswap(4 sites), dialog_gcd_compressed_block_tobitvector_reverse_add(4 sites), dialog_gcd_compressed_block_tobitvector_reverse_branch_bits(4 sites), dialog_gcd_compressed_block_tobitvector_reverse_cswap(4 sites), dialog_gcd_compressed_block_tobitvector_shift(6 sites), dialog_gcd_compressed_block_tobitvector_subtract(4 sites), dialog_gcd_raw_tobitvector_materialized_add_body(4 sites), dialog_gcd_raw_tobitvector_materialized_add_clear(4 sites), dialog_gcd_raw_tobitvector_materialized_add_load(4 sites), dialog_gcd_raw_tobitvector_materialized_sub_body(4 sites), dialog_gcd_raw_tobitvector_materialized_sub_clear(4 sites), dialog_gcd_raw_tobitvector_materialized_sub_load(4 sites)
# rows below: per-region active-qubit maxima within 7 of peak (source: TRACE_PHASE_ACTIVE_REGIONS)
ops_idx	active_q	phase	level
3582496	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3591707	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3600952	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3610163	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3619408	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3628619	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3637864	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3647075	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3656320	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3665531	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3674776	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3683987	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3693232	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3702443	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3711688	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3720899	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3730144	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3739355	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3748600	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3757811	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3767056	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3776267	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3785512	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3794723	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3803968	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3813179	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3822424	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3831635	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3840880	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
